table,column_count,insert_rows,fk_count,columns_and_types,foreign_keys
acquisition_events,20,546,0,"id: bigint(20) UNSIGNED NOT NULL | session_key: char(40) NOT NULL | event_id: char(36) NOT NULL | event_name: varchar(50) NOT NULL | tenant_id: bigint(20) UNSIGNED DEFAULT NULL | user_id: bigint(20) UNSIGNED DEFAULT NULL | segment: varchar(40) DEFAULT NULL | source: varchar(100) DEFAULT NULL | medium: varchar(100) DEFAULT NULL | campaign: varchar(120) DEFAULT NULL | content: varchar(120) DEFAULT NULL | term: varchar(120) DEFAULT NULL | event_url: varchar(500) DEFAULT NULL | referrer: varchar(500) DEFAULT NULL | client_ip_hash: char(64) DEFAULT NULL | user_agent_hash: char(64) DEFAULT NULL | marketing_consent: tinyint(1) NOT NULL DEFAULT 0 | value_amount: decimal(12,2) DEFAULT NULL | currency: char(3) NOT NULL DEFAULT 'BRL' | created_at: datetime NOT NULL DEFAULT current_timestamp()",
appointment_reminder_log,9,0,2,"id: bigint(20) UNSIGNED NOT NULL | tenant_id: bigint(20) UNSIGNED NOT NULL | appointment_id: bigint(20) UNSIGNED NOT NULL | reminder_key: varchar(30) NOT NULL | channel: enum('email','whatsapp') NOT NULL | status: enum('queued','sent','failed','skipped') NOT NULL DEFAULT 'queued' | error_message: varchar(500) DEFAULT NULL | created_at: datetime NOT NULL | sent_at: datetime DEFAULT NULL",appointment_id -> appointments.id | tenant_id -> tenants.id
appointment_reschedule_history,13,0,2,"id: bigint(20) UNSIGNED NOT NULL | tenant_id: bigint(20) UNSIGNED NOT NULL | appointment_id: bigint(20) UNSIGNED NOT NULL | old_professional_id: bigint(20) UNSIGNED DEFAULT NULL | new_professional_id: bigint(20) UNSIGNED DEFAULT NULL | old_starts_at: datetime NOT NULL | old_ends_at: datetime NOT NULL | new_starts_at: datetime NOT NULL | new_ends_at: datetime NOT NULL | reason: varchar(255) DEFAULT NULL | actor_type: enum('customer','user') NOT NULL | actor_user_id: bigint(20) UNSIGNED DEFAULT NULL | created_at: datetime NOT NULL",appointment_id -> appointments.id | tenant_id -> tenants.id
appointments,23,0,6,"id: bigint(20) UNSIGNED NOT NULL | tenant_id: bigint(20) UNSIGNED NOT NULL | customer_id: bigint(20) UNSIGNED NOT NULL | vehicle_id: bigint(20) UNSIGNED DEFAULT NULL | professional_id: bigint(20) UNSIGNED DEFAULT NULL | service_id: bigint(20) UNSIGNED NOT NULL | service_price_snapshot: decimal(10,2) DEFAULT NULL | starts_at: datetime NOT NULL | ends_at: datetime NOT NULL | status: enum('pending','confirmed','waiting','in_progress','completed','cancelled','no_show') NOT NULL DEFAULT 'pending' | source: enum('public','professional_link','internal','whatsapp','campaign','api') NOT NULL DEFAULT 'internal' | notes: text DEFAULT NULL | customer_manage_token_hash: char(64) DEFAULT NULL | customer_manage_token_encrypted: longtext DEFAULT NULL | customer_confirmed_at: datetime DEFAULT NULL | checked_in_at: datetime DEFAULT NULL | service_started_at: datetime DEFAULT NULL | service_completed_at: datetime DEFAULT NULL | reminder_24h_sent_at: datetime DEFAULT NULL | reminder_2h_sent_at: datetime DEFAULT NULL | created_by: bigint(20) UNSIGNED DEFAULT NULL | created_at: datetime NOT NULL | updated_at: datetime NOT NULL",vehicle_id -> customer_vehicles.id | created_by -> users.id | customer_id -> customers.id | professional_id -> professionals.id | service_id -> services.id | tenant_id -> tenants.id
audit_logs,11,274,0,id: bigint(20) UNSIGNED NOT NULL | tenant_id: bigint(20) UNSIGNED DEFAULT NULL | user_id: bigint(20) UNSIGNED DEFAULT NULL | action: varchar(120) NOT NULL | entity_type: varchar(120) DEFAULT NULL | entity_id: bigint(20) UNSIGNED DEFAULT NULL | ip_address: varchar(64) DEFAULT NULL | user_agent: varchar(500) DEFAULT NULL | before_json: longtext CHARACTER SET utf8mb4 COLLATE utf8mb4_bin DEFAULT NULL CHECK (json_valid(`before_json`)) | after_json: longtext CHARACTER SET utf8mb4 COLLATE utf8mb4_bin DEFAULT NULL CHECK (json_valid(`after_json`)) | created_at: datetime NOT NULL,
auto_bay_hours,7,0,2,id: bigint(20) UNSIGNED NOT NULL | tenant_id: bigint(20) UNSIGNED NOT NULL | bay_id: bigint(20) UNSIGNED NOT NULL | weekday: tinyint(3) UNSIGNED NOT NULL | start_time: time NOT NULL | end_time: time NOT NULL | active: tinyint(1) NOT NULL DEFAULT 1,bay_id -> auto_service_bays.id | tenant_id -> tenants.id
auto_bay_services,3,0,3,bay_id: bigint(20) UNSIGNED NOT NULL | service_id: bigint(20) UNSIGNED NOT NULL | tenant_id: bigint(20) UNSIGNED NOT NULL,bay_id -> auto_service_bays.id | service_id -> services.id | tenant_id -> tenants.id
auto_command_items,16,0,6,"id: bigint(20) UNSIGNED NOT NULL | command_id: bigint(20) UNSIGNED NOT NULL | tenant_id: bigint(20) UNSIGNED NOT NULL | item_type: enum('service','product','material','manual') NOT NULL | service_id: bigint(20) UNSIGNED DEFAULT NULL | product_id: bigint(20) UNSIGNED DEFAULT NULL | professional_id: bigint(20) UNSIGNED DEFAULT NULL | description: varchar(190) NOT NULL | quantity: decimal(10,3) NOT NULL DEFAULT 1.000 | unit_price: decimal(12,2) NOT NULL | discount_amount: decimal(12,2) NOT NULL DEFAULT 0.00 | total_amount: decimal(12,2) NOT NULL | cost_snapshot: decimal(12,2) DEFAULT NULL | approved_estimate_id: bigint(20) UNSIGNED DEFAULT NULL | is_primary_service: tinyint(1) NOT NULL DEFAULT 0 | created_at: datetime NOT NULL",command_id -> auto_commands.id | approved_estimate_id -> auto_estimates.id | product_id -> products.id | professional_id -> professionals.id | service_id -> services.id | tenant_id -> tenants.id
auto_command_payments,9,0,3,"id: bigint(20) UNSIGNED NOT NULL | command_id: bigint(20) UNSIGNED NOT NULL | tenant_id: bigint(20) UNSIGNED NOT NULL | payment_method: enum('pix','dinheiro','credito','debito','outro') NOT NULL | amount: decimal(12,2) NOT NULL | provider: varchar(50) DEFAULT NULL | provider_reference: varchar(190) DEFAULT NULL | received_by: bigint(20) UNSIGNED DEFAULT NULL | received_at: datetime NOT NULL",command_id -> auto_commands.id | tenant_id -> tenants.id | received_by -> users.id
auto_commands,16,0,7,"id: bigint(20) UNSIGNED NOT NULL | tenant_id: bigint(20) UNSIGNED NOT NULL | job_id: bigint(20) UNSIGNED NOT NULL | appointment_id: bigint(20) UNSIGNED NOT NULL | customer_id: bigint(20) UNSIGNED NOT NULL | vehicle_id: bigint(20) UNSIGNED NOT NULL | status: enum('open','closed','cancelled') NOT NULL DEFAULT 'open' | subtotal: decimal(12,2) NOT NULL DEFAULT 0.00 | discount_amount: decimal(12,2) NOT NULL DEFAULT 0.00 | surcharge_amount: decimal(12,2) NOT NULL DEFAULT 0.00 | total_amount: decimal(12,2) NOT NULL DEFAULT 0.00 | opened_by: bigint(20) UNSIGNED DEFAULT NULL | opened_at: datetime NOT NULL | closed_by: bigint(20) UNSIGNED DEFAULT NULL | closed_at: datetime DEFAULT NULL | updated_at: datetime NOT NULL",appointment_id -> appointments.id | closed_by -> users.id | customer_id -> customers.id | job_id -> auto_jobs.id | opened_by -> users.id | tenant_id -> tenants.id | vehicle_id -> customer_vehicles.id
